Entity,Code,year,Day,Training_computation_petaflop,Domain
Meena,,2020,2020-01-28,110000000,Language
Megatron-BERT,,2019,2019-09-17,57000000,Language
Megatron-LM,,2019,2019-09-17,9100000,Language
Megatron-Turing NLG 530B,,2021,2021-10-11,1400000000,Language
MetNet,,2020,2020-03-24,NA,Other
Meta Pseudo Labels,,2021,2021-03-01,210000000,Vision
MetaLM,,2022,2022-06-13,NA,Multimodal
MetaMimic,,2018,2018-10-11,NA,Games
Minerva (540B),,2022,2022-06-29,2700000000,Language
Mitosis,,2013,2013-09-22,140,Vision
MnasNet-A1 + SSDLite,,2019,2019-05-29,1500000,Vision
MnasNet-A3,,2019,2019-05-29,1500000,Vision
MoCo,,2019,2019-11-13,NA,Drawing
MoE,,2017,2017-01-23,94000,Language
MobileBERT,,2020,2020-04-06,NA,Language
MobileNet,,2017,2017-04-17,NA,Vision
MobileNetV2,,2018,2018-06-18,NA,Vision
MuZero,,2019,2019-11-19,48000,Games
Multiresolution CNN,,2014,2014-06-23,NA,Video
NASNet-A,,2017,2017-07-21,NA,Vision
NASv3 (CIFAR-10),,2016,2016-11-05,2200000,Vision
NEO (DL:RM-2022),,2021,2021-09-15,1100000,Recommendation
NLLB,,2022,2022-07-06,18000000,Language
NLP from scratch,,2011,2011-11-08,NA,Language
NPLM,,2003,2003-03-15,1.3,Language
NTM,,2014,2014-12-10,NA,Other
Naive Bayes,,1974,1974-09-01,NA,Vision
Named Entity Recognition model,,2016,2016-07-21,97,Language
Neocognitron,,1980,1980-04-01,2.3e-7,Vision
NetTalk,,1987,1987-06-06,0.000081,Speech
Network in Network,,2013,2013-12-16,NA,Other
NeuMF (Pinterest),,2017,2017-08-16,NA,Recommendation
Noisy Student (L2),,2019,2019-11-11,NA,Vision
NoisyNet-Dueling,,2017,2017-06-30,NA,Games
NÜWA,,2021,2021-11-24,4800000,Multimodal
OPT-175B,,2022,2022-05-02,760000000,Language
ObjectNet,,2019,2019-09-06,19000,Vision
Once for All,,2020,2020-04-29,1800000,Vision
OpenAI Five,,2019,2019-12-13,67000000,Games
OpenAI Five Rerun,,2019,2019-12-13,13000000,Games
OpenAI TI7 DOTA 1v1,,2017,2017-08-11,600000,Games
PCL-BAIDU Wenxin (ERNIE 3.0 Titan),,2021,2021-12-23,NA,Language
PNAS-net,,2017,2017-12-02,NA,Vision
PNASNet-5,,2017,2017-12-02,66000,Other
PaLM (540B),,2022,2022-04-04,2500000000,Language
PanGu-α,,2021,2021-04-25,58000000,Language
Pandemonium (morse),,1959,1959-02-01,6e-7,Other
Part-of-sentence tagging model,,2016,2016-07-21,150,Language
Parti,,2022,2022-06-22,400000000,Drawing
Peephole LSTM,,2000,2000-07-26,NA,Other
Perceiver IO,,2020,2020-02-08,NA,Multimodal
Perceptron Mark I,,1957,1957-01-01,6.9e-10,Vision
Phrase-based translation,,2003,2003-05-01,NA,Language
Player of Games,,2021,2021-12-06,NA,Games
PointNet,,2016,2016-12-02,NA,Other
PointNet++,,2017,2017-06-07,NA,Other
PolyNet,,2016,2016-11-17,NA,Vision
Population-based DRL,,2018,2018-07-03,35000,Games
PreTrans-3L-250H,,2013,2013-03-22,NA,Speech
Primer,,2022,2022-01-24,7100000,Language
ProGen,,2020,2020-03-13,270000,Other
ProtT5-XXL,,2021,2021-05-04,74000000,Other
ProxylessNAS,,2019,2019-02-23,37000,Vision
Q-learning,,1989,1989-01-01,NA,Other
R-CNN (T-net),,2013,2013-11-11,NA,Vision
R-FCN,,2016,2016-06-21,61,Vision
RETRO-7B,,2022,2022-02-07,NA,Language
RL mapping instructions (games),,2009,2009-08-01,NA,Reading
RL mapping instructions (troubleshooting),,2009,2009-08-02,NA,Reading
RNN 500/10 + RT09 LM (NIST RT05),,2010,2010-09-26,3.4,Speech
